Tárgy neve;Tárgykód;Kredit;Előadás;Gyakorlat;Labor;Konzultáció;Követelmény;Félév;Típus;Előtanulmány
Érzékelők és beavatkozók I.;KOKAA576;4;2;0;1;0;Félévközi jegy;5;Szakirany_jarmumechatronika;-
Járműfedélzeti rendszerek II.;KOKAA574;5;2;2;0;0;Vizsga;5;Szakirany_jarmumechatronika;KOKAA573,
Járműirányítás I.;KOKAA578;4;2;1;0;0;Félévközi jegy;5;Szakirany_jarmumechatronika;-
Járműfedélzeti rendszerek III.;KOKAA575;5;2;0;2;0;Vizsga;6;Szakirany_jarmumechatronika;KOKAA574,
Érzékelők és beavatkozók II.;KOKAA577;4;2;0;2;0;Vizsga;6;Szakirany_jarmumechatronika;KOKAA576,
Járműirányítás II.;KOKAA579;4;2;1;0;0;Vizsga;6;Szakirany_jarmumechatronika;KOKAA578,KOKAA138,KOKAA576$,
Járműfedélzeti kommunikáció;KOKAA580;4;2;1;0;0;Félévközi jegy;6;Szakirany_jarmumechatronika;KOKAA139,
Megbízhatóság és biztonság;KOKAA582;3;2;1;0;0;Félévközi jegy;7;Szakirany_jarmumechatronika;-
Mobil gépek mechatrinokája;KOEAA581;4;1;1;2;0;Félévközi jegy;7;Szakirany_jarmumechatronika;-
Járműanyagok;KOJJA565;8;4;1;1;0;Félévközi jegy;4;Szakirany_jarmugyartas;KOJJA106,
Szenzorika és anyagai ;KOJJA441;2;2;0;0;0;Félévközi jegy;5;Szakirany_jarmugyartas;TE15AX17,KOJJA106,
Gyártásautomatizálás;KOJJA567;7;2;2;1;0;Vizsga;5;Szakirany_jarmugyartas;KOGJA450,
Járműgyártás folyamatai I.;KOJJA568;4;2;0;1;0;Félévközi jegy;5;Szakirany_jarmugyartas;KOJJA106,
Járműgyártás folyamatai II.;KOJJA569;13;4;3;3;0;Vizsga;6;Szakirany_jarmugyartas;KOJJA568,
Minőségügyi rendszerek;KOJJA570;4;4;0;0;0;Vizsga;6;Szakirany_jarmugyartas;KOGJA154,
Járműdiagnosztika;KOJJA572;3;1;0;1;0;Félévközi jegy;7;Szakirany_jarmugyartas;-
Szerelés;KOJJA571;4;2;2;1;0;Félévközi jegy;7;Szakirany_jarmugyartas;KOJJA569,KOJJA570$,
Vasúti jármű mechatronika;KOVJA530;3;1;0;1;0;Félévközi jegy;4;Szakirany_vasutijarmuvek;KOKAA139,
Vasúti járműszerkezetek I.;KOVJA502;5;2;2;0;0;Félévközi jegy;4;Szakirany_vasutijarmuvek;-
Vasúti járműszerkezetek II.;KOVJA503;3;2;1;0;0;Vizsga;5;Szakirany_vasutijarmuvek;-
Villamos vasutak I.;KOVJA506;6;2;2;0;0;Félévközi jegy;5;Szakirany_vasutijarmuvek;KOKAA139,
Dízel vontatójárművek I.;KOVJA504;4;2;0;1;0;Félévközi jegy;5;Szakirany_vasutijarmuvek;KOVRA194,
Dízel vontatójárművek II.;KOVJA505;5;2;1;0;0;Vizsga;6;Szakirany_vasutijarmuvek;KOVRA497$,
Vasúti járművek karbantartása és javítása;KOVJA592;3;2;0;1;0;Félévközi jegy;6;Szakirany_vasutijarmuvek;-
Villamos vasutak II.;KOVJA507;3;2;1;0;0;Vizsga;6;Szakirany_vasutijarmuvek;KOKAA139,KOVJA506$,
Vasúti járművek üzeme és diagnosztikája;KOVJA508;4;2;1;0;0;Vizsga;6;Szakirany_vasutijarmuvek;-
Vasúti fékberendezések ;KOVJA509;2;2;0;0;0;Félévközi jegy;6;Szakirany_vasutijarmuvek;-
Megbízhatóság és biztonság;KOKAA582;3;2;1;0;0;Félévközi jegy;7;Szakirany_vasutijarmuvek;-
Vasúti jármű méréstechnika és labor;KOVJA510;4;2;0;2;0;Félévközi jegy;7;Szakirany_vasutijarmuvek;KOVJA503$,
Hajók hajtása I.;KOVRA465;3;2;0;1;0;Félévközi jegy;4;Szakirany_vizijarmuvek;KOJSA191,
Hajók elmélete I.;KOVRA470;5;2;1;0;0;Félévközi jegy;4;Szakirany_vizijarmuvek;KOJSA191,
Hajók elmélete II.;KORHA534;4;1;1;1;0;Félévközi jegy;5;Szakirany_vizijarmuvek;KOVRA470,
Hajók hajtása II.;KOVRA466;5;1;1;1;0;Vizsga;5;Szakirany_vizijarmuvek;KOVRA465,
Hajószerkezettan;KOVRA467;4;2;2;0;0;Félévközi jegy;5;Szakirany_vizijarmuvek;KOJSA192,KOJJA106$,
Hajóépítés technológiája;KOVRA468;3;2;0;0;0;Félévközi jegy;6;Szakirany_vizijarmuvek;KOVRA467,KOGJA450$,
Fedélzeti berendezések;KOVRA471;5;3;1;0;0;Vizsga;6;Szakirany_vizijarmuvek;KORHA534,
Hajógépek;KOVRA469;4;2;2;0;0;Vizsga;6;Szakirany_vizijarmuvek;KOVRA496,
Hajó csőrendszerek;KOVRA474;3;2;0;0;0;Vizsga;6;Szakirany_vizijarmuvek;KOVRA195,
Hajózás I. (Hajózási üzemtan);KOVRA473;2;2;0;0;0;Félévközi jegy;6;Szakirany_vizijarmuvek;KOVRA470,
Hajózás II. (Hajózási gazdaságtan);KORHA544;3;2;0;1;0;Félévközi jegy;7;Szakirany_vizijarmuvek;KOVRA473,
Kishajók;KOVRA472;4;2;1;1;0;Félévközi jegy;7;Szakirany_vizijarmuvek;KORHA534,
Anyagmozgatógépek I.;KOALA486;4;2;0;1;0;Félévközi jegy;4;Szakirany_epitogepek;KOJSA191,
Hajtástechnika I.;KOALA488;4;1;2;0;0;Félévközi jegy;4;Szakirany_epitogepek;-
Építőipari projekt menedzsment;KOALA452;3;1;1;0;0;Félévközi jegy;5;Szakirany_epitogepek;-
Betontechnológiai gépek I.;KOALA484;5;2;1;1;0;Vizsga;5;Szakirany_epitogepek;-
Automatizálás-technika;KOALA492;5;2;1;1;0;Félévközi jegy;5;Szakirany_epitogepek;KOKAA139,
Betontechnológiai gépek II.;KOALA485;7;2;3;1;0;Vizsga;6;Szakirany_epitogepek;KOALA484,
Építőgépek I.;KOALA448;5;2;1;1;0;Vizsga;6;Szakirany_epitogepek;-
Hajtástechnika II.;KOALA489;5;2;1;1;0;Vizsga;6;Szakirany_epitogepek;KOALA488,
Mobilgépek fedélzeti eszközei;KOALA491;3;2;1;0;0;Félévközi jegy;7;Szakirany_epitogepek;-
Építőgépek II.;KOALA449;4;2;0;2;0;Félévközi jegy;7;Szakirany_epitogepek;-
Anyagmozgatógépek I.;KOALA486;4;2;0;1;0;Félévközi jegy;4;Szakirany_automatizaltanyagmozgato;KOJSA191,
Hajtástechnika I.;KOALA488;4;1;2;0;0;Félévközi jegy;4;Szakirany_automatizaltanyagmozgato;-
Anyagmozgatási projekt menedzsment;KOALA456;3;1;1;0;0;Félévközi jegy;5;Szakirany_automatizaltanyagmozgato;-
Anyagmozgatógépek II.;KOALA477;5;2;1;1;0;Vizsga;5;Szakirany_automatizaltanyagmozgato;KOJSA191,
Automatizálás-technika;KOALA492;5;2;1;1;0;Félévközi jegy;5;Szakirany_automatizaltanyagmozgato;KOKAA139,
Anyagmozgatási projekt;KOALA459;7;2;2;1;0;Vizsga;6;Szakirany_automatizaltanyagmozgato;KOALA486,KOALA477$,
Robottechnika;KOALA460;5;2;2;1;0;Vizsga;6;Szakirany_automatizaltanyagmozgato;-
Hajtástechnika II.;KOALA489;5;2;1;1;0;Vizsga;6;Szakirany_automatizaltanyagmozgato;KOALA488,
Mobilgépek fedélzeti eszközei;KOALA491;3;2;1;0;0;Félévközi jegy;7;Szakirany_automatizaltanyagmozgato;-
Járműipari anyagmozgatási rendszerek;KOALA430;4;2;0;2;0;Félévközi jegy;7;Szakirany_automatizaltanyagmozgato;KOALA486,
Felépítmény típusismeret;KOJSA483;3;2;0;0;0;Félévközi jegy;4;Szakirany_jarmufelepitmenyek;-
Járműfelépítmény mechanizmusok;KOJKA584;5;2;2;0;0;Félévközi jegy;4;Szakirany_jarmufelepitmenyek;KOJSA191,
Törés és károsodás;KOJSA478;4;3;0;0;0;Félévközi jegy;5;Szakirany_jarmufelepitmenyek;-
Felépítmény hidraulika és pneumatika;KOJSA475;5;2;0;2;0;Vizsga;5;Szakirany_jarmufelepitmenyek;-
Szendvics szerkezetek;KOJSA476;4;0;2;1;0;Félévközi jegy;5;Szakirany_jarmufelepitmenyek;-
Felépítmények dinamikája;KOJSA479;8;4;2;1;0;Vizsga;6;Szakirany_jarmufelepitmenyek;KOJKA165$,
Felépítmények vizsgálatai;KOJSA480;4;2;0;1;0;Vizsga;6;Szakirany_jarmufelepitmenyek;KOJKA165$,
Vázszserkezet számítás numerikus módszerei I.;KOJSA481;5;2;2;0;0;Vizsga;6;Szakirany_jarmufelepitmenyek;KOJKA165$,
Szilárdtest mechanika válogatott fejezetei;KOJSA482;3;2;1;0;0;Félévközi jegy;7;Szakirany_jarmufelepitmenyek;KOJSA479,
Vázszserkezet számítás numerikus módszerei II.;KOJSA487;4;2;0;2;0;Félévközi jegy;7;Szakirany_jarmufelepitmenyek;KOJSA481,
Jelmagyarázat:;;;;;;;;;;
Aláírás elegendő;~;;;;;;;;;
Ajánlott előkövetelmény;$;;;;;;;;;
Azonos félévben felvehető;!;;;;;;;;;
